edge_id,source_id,source_type,source_label,target_id,target_type,target_label,relationship_type,relationship_label,event_count,first_seen,last_seen,risk_score,source_index,source_sourcetype,evidence_reference
edge:d2b1d44862f7,data_model:authentication,data_model,Authentication,sourcetype:XmlWinEventLog:Security,sourcetype,XmlWinEventLog:Security,WRITES_TO_SOURCETYPE,Writes to sourcetype,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,5,graphlens_relationships,graphlens:relationship,edge:d2b1d44862f7
edge:68eb0ef4e0ef,sourcetype:XmlWinEventLog:Security,sourcetype,XmlWinEventLog:Security,index:windows,index,windows,STORED_IN_INDEX,Stored in index,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,5,graphlens_relationships,graphlens:relationship,edge:68eb0ef4e0ef
edge:c1adf51cdb39,business_system:finance_platform,business_system,Finance Platform,technology:windows_server,technology,Windows Server,DEPENDS_ON,Depends on,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,20,graphlens_relationships,graphlens:relationship,edge:c1adf51cdb39
edge:d70f6ef19fd9,technology:windows_server,technology,Windows Server,log_source:xmlwineventlog_security,log_source,XmlWinEventLog Security,GENERATES_LOG,Generates log,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,15,graphlens_relationships,graphlens:relationship,edge:d70f6ef19fd9
edge:5961b117cc1a,log_source:xmlwineventlog_security,log_source,XmlWinEventLog Security,event_type:4624_logon,event_type,4624 Logon,REFERENCES,References,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,10,graphlens_relationships,graphlens:relationship,edge:5961b117cc1a
edge:266f608757df,event_type:4624_logon,event_type,4624 Logon,required_field:src_user,required_field,src_user,REFERENCES,References,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,5,graphlens_relationships,graphlens:relationship,edge:266f608757df
edge:494672f2f8ed,event_type:4624_logon,event_type,4624 Logon,detection_use_case:privileged_login_anomaly,detection_use_case,Privileged Login Anomaly,SUPPORTS_DETECTION,Supports detection,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,40,graphlens_relationships,graphlens:relationship,edge:494672f2f8ed
edge:f9eb4ad61759,detection_use_case:privileged_login_anomaly,detection_use_case,Privileged Login Anomaly,mitre_technique:T1078,mitre_technique,T1078 Valid Accounts,MAPS_TO_TECHNIQUE,Maps to technique,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,45,graphlens_relationships,graphlens:relationship,edge:f9eb4ad61759
edge:1cca3a743888,business_service:online_banking,business_service,Online Banking,application:finance_system,application,Finance System,DEPENDS_ON,Depends on,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,30,graphlens_relationships,graphlens:relationship,edge:1cca3a743888
edge:9bb8f144633b,application:finance_system,application,Finance System,server:srv-app01.example.com,server,srv-app01.example.com,HOSTED_ON,Hosted on,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,25,graphlens_relationships,graphlens:relationship,edge:9bb8f144633b
edge:f6463272cddb,server:srv-app01.example.com,server,srv-app01.example.com,database:finance_db01,database,finance_db01,USES_DATABASE,Uses database,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,35,graphlens_relationships,graphlens:relationship,edge:f6463272cddb
edge:f1e01e30adfc,application:finance_system,application,Finance System,api:payments_api_v2,api,Payments API v2,EXPOSES_API,Exposes API,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,20,graphlens_relationships,graphlens:relationship,edge:f1e01e30adfc
edge:b4e4f91511df,application:finance_system,application,Finance System,identity_provider:corp_sso,identity_provider,Corporate SSO,AUTHENTICATES_VIA,Authenticates via,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,15,graphlens_relationships,graphlens:relationship,edge:b4e4f91511df
edge:6674ef429311,server:srv-app01.example.com,server,srv-app01.example.com,cloud_subscription:sub-prod-001,cloud_subscription,sub-prod-001,DEPLOYED_IN,Deployed in,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,10,graphlens_relationships,graphlens:relationship,edge:6674ef429311
edge:db523bb1f9c0,user:jsmith,user,J Smith,group:finance_admins,group,Finance Admins,MEMBER_OF,Member of,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,40,graphlens_relationships,graphlens:relationship,edge:db523bb1f9c0
edge:7f680ac3a9ec,group:finance_admins,group,Finance Admins,role:finance_admin_role,role,Finance Admin Role,HAS_ROLE,Has role,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,40,graphlens_relationships,graphlens:relationship,edge:7f680ac3a9ec
edge:cf5ba441b785,role:finance_admin_role,role,Finance Admin Role,privilege:approve_wire_transfer,privilege,Approve Wire Transfer,GRANTS,Grants,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,60,graphlens_relationships,graphlens:relationship,edge:cf5ba441b785
edge:a84f54e23996,role:finance_admin_role,role,Finance Admin Role,application:finance_system,application,Finance System,GRANTS,Grants,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,30,graphlens_relationships,graphlens:relationship,edge:a84f54e23996
edge:acce31a4b13e,user:jsmith,user,J Smith,host:srv-app01.example.com,host,srv-app01.example.com,OWNS,Owns,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,20,graphlens_relationships,graphlens:relationship,edge:acce31a4b13e
edge:640796d7041f,user:bjones,user,B Jones,host:ws-1042.example.com,host,ws-1042.example.com,AUTHENTICATED_TO,Authenticated to,6,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,20,graphlens_relationships,graphlens:relationship,edge:640796d7041f
edge:af140854fac1,user:bjones,user,B Jones,ip:198.51.100.23,ip,198.51.100.23,COMMUNICATED_WITH,Communicated with,3,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,15,graphlens_relationships,graphlens:relationship,edge:af140854fac1
